de,a,"ligero (s)","profundo (s)","Rem (seg)","despierto (s)",despertar,"Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)"
2019-03-17T22:43:00+01:00,2019-03-18T07:41:00+01:00,13920,16980,0,1380,1,600,180,0,0,0,0,0
2019-03-19T00:04:00+01:00,2019-03-19T07:16:00+01:00,8220,17400,0,300,0,0,300,0,0,0,0,0
2019-03-19T23:48:00+01:00,2019-03-20T07:20:00+01:00,10980,15540,0,600,1,240,180,2,0,0,0,0
2019-03-21T00:19:00+01:00,2019-03-21T07:24:00+01:00,9480,15480,0,540,1,0,120,0,0,0,0,0
2019-03-21T23:57:00+01:00,2019-03-22T06:53:00+01:00,9960,13620,0,1380,1,240,120,0,0,0,0,0
2019-03-23T01:07:00+01:00,2019-03-23T08:02:00+01:00,12900,10860,0,1140,1,240,360,0,0,0,0,0
2019-03-23T21:59:00+01:00,2019-03-24T07:37:00+01:00,14340,18780,0,1560,2,780,60,0,0,0,0,0
2019-03-24T23:41:00+01:00,2019-03-25T07:13:00+01:00,13320,13320,0,480,1,0,0,0,0,0,0,0
2019-03-25T22:47:00+01:00,2019-03-26T07:26:00+01:00,11520,18600,0,1020,3,0,180,0,0,0,0,0
2019-03-26T23:04:00+01:00,2019-03-27T07:19:00+01:00,8640,20220,0,840,2,0,120,0,0,0,0,0
2019-03-27T23:05:00+01:00,2019-03-28T07:23:00+01:00,12780,14640,0,2460,3,360,240,0,0,0,0,0
2019-03-29T00:21:00+01:00,2019-03-29T07:57:00+01:00,10621,15359,0,1380,3,0,0,0,0,0,0,0
2019-03-29T23:05:00+01:00,2019-03-30T08:42:00+01:00,14100,17940,0,2580,3,540,60,0,0,0,0,0
2019-03-30T23:11:00+01:00,2019-03-31T08:37:00+02:00,12840,15840,0,1680,2,0,0,1,0,0,0,0
2019-03-31T23:03:00+02:00,2019-04-01T07:58:00+02:00,15000,15600,0,1500,1,360,360,0,0,0,0,0
2019-04-01T23:46:00+02:00,2019-04-02T07:20:00+02:00,11460,13320,0,2460,3,360,0,0,0,0,0,0
2019-04-02T23:27:00+02:00,2019-04-03T08:05:00+02:00,12900,13740,0,4440,6,0,120,0,0,0,0,0
2019-04-04T00:46:00+02:00,2019-04-04T07:26:00+02:00,7380,14760,0,1860,2,360,120,0,0,0,0,0
2019-04-05T23:57:00+02:00,2019-04-06T06:58:00+02:00,10680,13800,0,780,0,540,240,0,0,0,0,0
2019-04-07T03:44:00+02:00,2019-04-07T07:57:00+02:00,5280,NA,0,900,1,360,360,0,0,0,0,0
2019-04-09T23:51:00+02:00,2019-04-10T07:37:00+02:00,13080,12720,0,2160,2,0,0,0,0,0,0,0
2019-04-10T23:14:00+02:00,2019-04-11T07:31:00+02:00,16140,12360,0,1320,3,0,120,0,0,0,0,0
2019-04-12T00:07:00+02:00,2019-04-12T08:25:00+02:00,12900,15060,0,1920,2,420,0,0,0,0,0,0
2019-04-12T23:58:00+02:00,2019-04-13T07:25:00+02:00,7980,17640,0,1200,1,540,480,0,0,0,0,0
2019-04-13T23:41:00+02:00,2019-04-14T09:08:00+02:00,14160,18900,0,960,1,360,120,0,0,0,0,0
2019-04-14T22:54:00+02:00,2019-04-15T07:35:00+02:00,14760,15240,0,1260,1,0,720,0,0,0,0,0
2019-04-15T22:44:00+02:00,2019-04-16T06:33:00+02:00,13020,13920,0,1200,1,360,240,0,0,0,0,0
2019-04-16T22:51:00+02:00,2019-04-17T07:42:00+02:00,10800,20100,0,960,1,360,420,0,0,0,0,0
2019-04-18T00:58:00+02:00,2019-04-18T07:13:00+02:00,9120,12600,0,780,1,0,180,0,0,0,0,0
2019-04-18T22:32:00+02:00,2019-04-19T09:07:00+02:00,15599,20701,0,1800,2,540,540,0,0,0,0,0
2019-04-20T00:39:00+02:00,2019-04-20T08:37:00+02:00,8460,18840,0,1380,1,360,420,0,0,0,0,0
2019-04-21T00:18:00+02:00,2019-04-21T07:46:00+02:00,11220,15420,0,240,0,240,0,0,0,0,0,0
2019-04-21T23:58:00+02:00,2019-04-22T06:43:00+02:00,7800,15540,0,960,0,240,720,0,0,0,0,0
2019-04-22T22:21:00+02:00,2019-04-23T07:48:00+02:00,15180,16500,0,2340,3,480,180,0,0,0,0,0
2019-04-23T23:49:00+02:00,2019-04-24T07:21:00+02:00,9120,16620,0,1380,1,0,240,0,0,0,0,0
2019-04-24T23:48:00+02:00,2019-04-25T07:32:00+02:00,11100,15420,0,1320,2,180,0,0,0,0,0,0
2019-04-26T00:41:00+02:00,2019-04-26T07:47:00+02:00,12420,12120,0,1020,1,0,0,0,0,0,0,0
2019-04-26T23:19:00+02:00,2019-04-27T08:44:00+02:00,10620,18960,0,4320,3,360,780,0,0,0,0,0
2019-04-28T00:06:00+02:00,2019-04-28T08:01:00+02:00,7260,20160,0,1080,1,480,0,0,0,0,0,0
2019-05-05T23:33:00+02:00,2019-05-06T07:18:00+02:00,10860,15120,0,1920,1,300,720,0,0,0,0,0
2019-05-07T00:56:00+02:00,2019-05-07T07:37:00+02:00,8460,14100,0,1500,3,0,0,0,0,0,0,0
2019-05-08T00:20:00+02:00,2019-05-08T06:47:00+02:00,10319,10440,0,2461,2,361,0,0,0,0,0,0
2019-05-08T23:16:00+02:00,2019-05-09T06:25:00+02:00,8040,15300,0,2400,3,480,540,0,0,0,0,0
2019-05-10T00:16:00+02:00,2019-05-10T07:05:00+02:00,8640,14700,0,1200,0,300,900,0,0,0,0,0
2019-05-12T23:41:00+02:00,2019-05-13T07:35:00+02:00,NA,NA,0,2640,4,0,0,0,0,0,0,0
2019-05-13T23:44:00+02:00,2019-05-14T07:40:00+02:00,11100,16500,0,960,2,300,0,0,0,0,0,0
2019-05-14T22:53:00+02:00,2019-05-15T08:35:00+02:00,14640,16380,0,3900,4,480,0,0,0,0,0,0
2019-05-15T23:22:00+02:00,2019-05-16T07:22:00+02:00,11220,14220,0,3360,4,120,0,0,0,0,0,0
2019-05-16T23:28:00+02:00,2019-05-17T08:03:00+02:00,10020,19560,0,1320,2,240,480,1,0,0,0,0
2019-05-18T00:05:00+02:00,2019-05-18T07:47:00+02:00,11640,15240,0,840,1,0,180,0,0,0,0,0
2019-05-18T21:41:00+02:00,2019-05-19T07:37:00+02:00,18720,16020,0,1020,1,0,60,0,0,0,0,0
2019-05-19T21:21:00+02:00,2019-05-20T04:40:00+02:00,9000,14580,0,2760,3,300,0,0,0,0,0,0
2019-05-20T23:09:00+02:00,2019-05-21T07:01:00+02:00,11100,16860,0,360,0,0,360,0,0,0,0,0
2019-05-22T00:42:00+02:00,2019-05-22T06:36:00+02:00,11220,9600,0,420,0,360,60,0,0,0,0,0
2019-05-22T23:33:00+02:00,2019-05-23T07:09:00+02:00,10739,15721,0,900,0,180,720,0,0,0,0,0
2019-05-25T01:30:00+02:00,2019-05-25T10:27:00+02:00,15480,14760,0,1980,1,360,840,0,0,0,0,0
2019-05-26T01:04:00+02:00,2019-05-26T07:51:00+02:00,10800,12361,0,1259,3,0,0,0,0,0,0,0
2019-05-27T00:24:00+02:00,2019-05-27T06:39:00+02:00,12780,9360,0,360,0,360,0,0,0,0,0,0
2019-05-27T22:24:00+02:00,2019-05-28T07:44:00+02:00,15239,13801,0,4560,4,1320,0,0,0,0,0,0
2019-05-29T23:54:00+02:00,2019-05-30T04:48:00+02:00,5700,11160,0,780,2,0,0,0,0,0,0,0
2019-06-01T00:50:00+02:00,2019-06-01T08:28:00+02:00,13440,12720,0,1320,1,180,660,0,0,0,0,0
2019-06-02T00:33:00+02:00,2019-06-02T07:42:00+02:00,11760,12480,0,780,2,0,2,0,0,0,0,0
2019-06-07T23:04:00+02:00,2019-06-08T07:04:00+02:00,13560,14040,0,1200,2,0,0,0,0,0,0,0
2019-06-09T00:05:00+02:00,2019-06-09T09:21:00+02:00,16260,16200,0,900,1,300,60,0,0,0,0,0
2019-06-10T01:02:00+02:00,2019-06-10T07:08:00+02:00,9420,11460,0,1080,2,0,0,0,0,0,0,0
2019-06-10T22:39:00+02:00,2019-06-11T06:30:00+02:00,14220,12360,0,1680,3,300,0,0,0,0,0,0
2019-06-11T23:12:00+02:00,2019-06-12T08:37:00+02:00,12480,18540,0,2880,1,1620,660,0,0,0,0,0
2019-06-13T00:08:00+02:00,2019-06-13T07:16:00+02:00,12240,11220,0,2220,3,360,0,0,0,0,0,0
2019-06-14T00:59:00+02:00,2019-06-14T07:13:00+02:00,11340,10740,0,360,0,360,0,0,0,0,0,0
2019-06-15T01:14:00+02:00,2019-06-15T09:45:00+02:00,16680,13080,0,900,2,0,0,0,0,0,0,0
2019-06-16T00:56:00+02:00,2019-06-16T08:54:00+02:00,15960,11760,0,960,2,0,360,0,0,0,0,0
2019-06-17T23:04:00+02:00,2019-06-18T07:19:00+02:00,18300,10200,0,1200,2,360,60,0,0,0,0,0
2019-06-19T01:04:00+02:00,2019-06-19T06:37:00+02:00,8640,10500,0,840,0,360,480,0,0,0,0,0
2019-06-20T00:17:00+02:00,2019-06-20T07:31:00+02:00,11160,11880,0,3000,4,360,60,0,0,0,0,0
2019-06-20T23:49:00+02:00,2019-06-21T04:35:00+02:00,10260,5760,0,1140,2,180,0,NA,0,0,0,0
2019-06-21T21:41:00+02:00,2019-06-22T03:22:00+02:00,11700,8640,0,120,0,120,0,0,0,0,0,0
2019-06-22T06:53:00+02:00,2019-06-22T10:09:00+02:00,5160,6540,0,60,0,0,60,0,0,0,0,0
2019-06-23T00:44:00+02:00,2019-06-23T06:32:00+02:00,12541,8159,0,180,0,180,0,0,0,0,0,0
2019-06-24T01:12:00+02:00,2019-06-24T07:29:00+02:00,11760,9780,0,1080,3,60,0,0,0,0,0,0
2019-06-26T04:08:00+02:00,2019-06-26T06:45:00+02:00,5340,3960,0,120,0,120,0,0,0,0,0,0
2019-06-27T01:58:00+02:00,2019-06-27T06:16:00+02:00,7380,7620,0,300,2,0,0,0,0,0,0,0
2019-06-28T01:01:00+02:00,2019-06-28T04:00:00+02:00,5520,4860,0,360,0,360,0,NA,0,0,0,0
2019-06-29T01:07:00+02:00,2019-06-29T04:00:00+02:00,6000,4380,0,0,0,0,0,0,0,0,0,0
2019-07-13T01:48:00+02:00,2019-07-13T08:25:00+02:00,10140,12900,0,780,1,180,0,0,0,0,0,0
2019-07-18T01:08:00+02:00,2019-07-18T07:31:00+02:00,9540,11460,0,1980,2,360,0,0,0,0,0,0
2019-07-18T23:46:00+02:00,2019-07-19T07:16:00+02:00,10320,13740,0,2940,5,480,240,0,0,0,0,0
2019-07-20T01:27:00+02:00,2019-07-20T08:54:00+02:00,9840,15480,0,1500,2,240,180,0,0,0,0,0
2019-07-20T23:08:00+02:00,2019-07-21T02:42:00+02:00,3960,8220,0,660,1,60,240,0,0,0,0,0
2019-07-21T04:46:00+02:00,2019-07-21T08:55:00+02:00,10679,4080,0,181,0,61,120,0,0,0,0,0
2019-07-21T22:38:00+02:00,2019-07-22T07:11:00+02:00,12419,13980,0,4381,5,781,0,0,0,0,0,0
2019-07-23T00:46:00+02:00,2019-07-23T07:12:00+02:00,8700,14340,0,120,0,0,120,0,0,0,0,0
2019-07-24T00:26:00+02:00,2019-07-24T08:31:00+02:00,13800,14220,0,1080,0,840,240,0,0,0,0,0
2019-07-25T01:03:00+02:00,2019-07-25T08:15:00+02:00,12480,11220,0,2220,4,360,0,0,0,0,0,0
2019-07-26T01:05:00+02:00,2019-07-26T09:05:00+02:00,14160,12000,0,2640,5,0,180,0,0,0,0,0
2019-07-27T00:02:00+02:00,2019-07-27T08:35:00+02:00,14700,14460,0,1620,3,60,0,0,0,0,0,0
2019-07-28T00:26:00+02:00,2019-07-28T07:21:00+02:00,9840,14460,0,600,0,180,420,0,0,0,0,0
2019-07-29T01:01:00+02:00,2019-07-29T07:25:00+02:00,12180,9540,0,1320,2,360,60,0,0,0,0,0
2019-07-30T23:09:00+02:00,2019-07-31T08:04:00+02:00,12780,18420,0,900,0,360,540,0,0,0,0,0
2019-07-31T23:51:00+02:00,2019-08-01T07:53:00+02:00,13020,14940,0,960,2,60,180,0,0,0,0,0
2019-08-02T01:13:00+02:00,2019-08-02T08:30:00+02:00,13380,11640,0,1200,2,0,0,0,0,0,0,0
2019-08-03T00:33:00+02:00,2019-08-03T09:13:00+02:00,15540,14460,0,1200,0,420,780,0,0,0,0,0
2019-08-04T01:19:00+02:00,2019-08-04T08:26:00+02:00,15240,9960,0,420,0,360,60,0,0,0,0,0
2019-08-04T23:06:00+02:00,2019-08-05T08:47:00+02:00,18180,15060,0,1620,2,0,120,0,0,0,0,0
2019-08-05T23:44:00+02:00,2019-08-06T07:06:00+02:00,12000,12480,0,2040,2,60,240,0,0,0,0,0
2019-08-10T01:46:00+02:00,2019-08-10T07:54:00+02:00,10140,11040,0,900,1,360,0,0,0,0,0,0
2019-08-11T00:14:00+02:00,2019-08-11T07:52:00+02:00,9840,15420,0,2220,2,360,0,0,0,0,0,0
2019-08-12T00:02:00+02:00,2019-08-12T10:35:00+02:00,18180,15120,0,1020,3,360,120,0,0,0,0,0
2019-08-13T01:40:00+02:00,2019-08-13T09:22:00+02:00,15420,11340,0,960,1,180,0,0,0,0,0,0
2019-08-13T23:35:00+02:00,2019-08-14T09:05:00+02:00,17640,15360,0,1200,2,300,240,0,0,0,0,0
2019-08-16T00:53:00+02:00,2019-08-16T08:55:00+02:00,11880,15720,0,1320,2,0,240,0,0,0,0,0
2019-08-17T22:49:00+02:00,2019-08-18T08:56:00+02:00,19080,15720,0,1620,3,360,240,0,0,0,0,0
2019-08-19T23:35:00+02:00,2019-08-20T07:06:00+02:00,15540,10560,0,960,1,0,0,0,0,0,0,0
2019-08-21T00:40:00+02:00,2019-08-21T08:14:00+02:00,12420,13080,0,1740,3,300,300,0,0,0,0,0
2019-08-22T01:26:00+02:00,2019-08-22T06:54:00+02:00,9900,9660,0,120,0,0,120,0,0,0,0,0
2019-08-22T23:27:00+02:00,2019-08-23T08:24:00+02:00,15240,12780,0,4200,5,0,0,0,0,0,0,0
2019-08-24T00:54:00+02:00,2019-08-24T07:33:00+02:00,9780,12300,0,1860,2,360,0,0,0,0,0,0
2019-08-25T00:28:00+02:00,2019-08-25T08:26:00+02:00,14340,12900,0,1440,2,360,0,0,0,0,0,0
2019-08-25T23:44:00+02:00,2019-08-26T07:24:00+02:00,11340,14940,0,1320,1,0,780,0,0,0,0,0
2019-08-26T22:54:00+02:00,2019-08-27T07:38:00+02:00,17220,11460,0,2760,3,0,180,0,0,0,0,0
2019-08-29T23:41:00+02:00,2019-08-30T07:15:00+02:00,17399,7740,0,2101,3,360,300,0,0,0,0,0
2019-08-31T00:23:00+02:00,2019-08-31T07:37:00+02:00,13380,10920,0,1740,3,360,0,0,0,0,0,0
2019-09-01T00:04:00+02:00,2019-09-01T08:31:00+02:00,10439,15961,0,4020,3,1320,1020,0,0,0,0,0
2019-09-02T00:08:00+02:00,2019-09-02T06:43:00+02:00,12660,10020,0,1020,1,0,540,0,0,0,0,0
2019-09-02T23:50:00+02:00,2019-09-03T07:07:00+02:00,12000,13560,0,660,0,0,660,0,0,0,0,0
2019-09-03T21:22:00+02:00,2019-09-04T07:04:00+02:00,14520,12000,0,1320,2,0,360,0,0,0,0,0
2019-09-05T01:27:00+02:00,2019-09-05T08:40:00+02:00,9840,15180,0,960,1,0,180,0,0,0,0,0
2019-09-06T01:03:00+02:00,2019-09-06T09:20:00+02:00,14040,12180,0,3600,4,420,0,0,0,0,0,0
2019-09-14T23:44:00+02:00,2019-09-15T08:47:00+02:00,15660,15900,0,1020,2,180,0,0,0,0,0,0
2019-09-16T02:16:00+02:00,2019-09-16T07:52:00+02:00,10440,8040,0,1680,2,360,60,0,0,0,0,0
2019-09-16T22:42:00+02:00,2019-09-17T07:59:00+02:00,15780,13800,0,3840,5,0,120,0,0,0,0,0
2019-09-17T23:50:00+02:00,2019-09-18T08:09:00+02:00,13980,15540,0,420,0,360,60,0,0,0,0,0
2019-09-18T23:40:00+02:00,2019-09-19T07:01:00+02:00,9901,12479,0,4080,2,2580,0,0,0,0,0,0
2019-09-20T00:20:00+02:00,2019-09-20T07:43:00+02:00,13740,10440,0,2400,2,0,1140,0,0,0,0,0
2019-09-20T22:11:00+02:00,2019-09-21T09:12:00+02:00,19260,16500,0,3900,4,360,300,0,0,0,0,0
2019-09-22T01:05:00+02:00,2019-09-22T07:31:00+02:00,12300,9420,0,1440,3,360,0,0,0,0,0,0
2019-09-23T22:49:00+02:00,2019-09-24T07:49:00+02:00,14640,15600,0,2160,3,660,0,0,0,0,0,0
2019-09-25T00:13:00+02:00,2019-09-25T06:58:00+02:00,9120,10740,0,4440,6,360,0,0,0,0,0,0
2019-09-25T23:14:00+02:00,2019-09-26T07:14:00+02:00,14640,12000,0,2160,0,1740,420,0,0,0,0,0
2019-09-26T23:52:00+02:00,2019-09-27T06:38:00+02:00,13500,9360,0,1500,2,300,480,0,0,0,0,0
2019-09-28T00:21:00+02:00,2019-09-28T08:05:00+02:00,14460,12060,0,1320,1,600,180,0,0,0,0,0
2019-09-29T01:14:00+02:00,2019-09-29T08:29:00+02:00,17160,8220,0,720,1,120,0,0,0,0,0,0
